MUNIC_RES	DIAG_PRINC	QTD
230190	B551	16
230190	B92	3
230195	A90	2
230200	A90	19
230200	A91	2
230205	A279	1
230205	B559	1
230210	A90	7
230210	B690	1
230220	A90	17
230220	B551	1
230230	B550	4
230230	B559	1
230240	A90	14
230240	B550	1
230240	B690	1
230250	A309	3
230250	A90	164
230250	A91	4
230250	B550	3
230250	B690	1
230260	A90	1
230260	B550	1
230270	A90	113
230270	A91	5
230270	B550	1
230280	A90	6
230280	B550	3
230290	A300	1
230290	A90	2
230290	A91	1
230290	B368	1
230290	B460	1
230290	B463	1
230300	A90	1
230310	B559	1
230320	A90	47
230320	B92	2
230330	A90	2
230330	B550	2
230340	B690	1
230350	A90	21
230350	B368	1
230350	B690	1
230360	A90	39
230360	B550	2
230360	B559	1
230365	A90	1
230365	B559	1
230370	A300	1
230370	A90	66
230370	A91	4
230370	B479	1
230370	B49	1
230370	B550	26
230370	B690	2
230370	B778	1
230370	B829	1
230380	A90	10
230390	A820	1
230390	A90	6
230390	B370	1
230393	B460	1
230393	B550	1
230400	A279	1
230400	A308	1
230400	A309	1
230400	A90	5
230410	A309	2
230410	A90	205
230410	A91	9
230410	B550	4
230410	B571	1
230410	B690	6
230410	B830	3
230420	A90	312
230420	A91	8
230420	B550	4
230420	B551	3
230420	B559	1
230420	B575	1
230420	B690	2
230423	A90	1
230423	B550	4
230425	B550	1
230426	A90	2
230427	A279	2
230427	A90	4
230428	B550	3
230428	B551	1
230430	A90	9
230430	B550	1
230435	A279	1
230435	A90	1
230435	B559	1
230440	A270	11
230440	A278	1
230440	A279	5
230440	A300	30
230440	A302	3
230440	A308	1
230440	A309	11
230440	A90	680
230440	A91	28
230440	B350	1
230440	B351	1
230440	B358	1
230440	B368	5
230440	B369	1
230440	B370	3
230440	B371	11
230440	B378	1
230440	B382	4
230440	B392	3
230440	B402	1
230440	B408	4
230440	B441	3
230440	B460	7
230440	B479	1
230440	B488	5
230440	B49	2
230440	B550	138
230440	B551	10
230440	B552	3
230440	B559	4
230440	B573	6
230440	B651	4
230440	B658	2
230440	B690	11
230440	B770	1
230440	B778	1
230440	B829	3
230440	B92	1
230450	A90	6
230465	B573	1
230470	A90	52
230470	B378	2
230470	B550	3
230470	B559	3
230480	A90	1
230490	A279	1
230490	B369	1
230490	B550	1
230495	A90	11
230495	A91	1
230495	B350	8
230495	B353	1
230495	B369	1
230495	B49	12
230500	A279	1
230500	A309	1
230500	B550	1
230500	B690	1
230510	A278	1
230510	A279	1
230520	A90	1
230523	A90	3
230523	B370	3
230526	A300	4
230526	A90	1
230526	B460	2
230530	B370	1
230533	B460	3
230533	B690	1
230535	A90	3
230540	A90	75
230540	B550	1
230540	B573	1
230550	A300	1
230550	A309	2
230550	A90	91
230550	A91	1
230550	B550	2
230550	B559	2
230550	B659	1
